Fecha,Polizas,Creditos,Interes_Prestamos_Empresariales,Interes_Prestamos_Personales,Interes_Por_Hipoteca,Mantenimiento_Cuenta,Tarifas_Sobregiro,Tarifas_Cajero,Tarifas_Transferencias,Asesoramiento_Inversiones,Gestion_Patrimonial,Servicios_Corretaje,Servicio_Deposito,Activos_Tangibles,Gastos_Oficina,Renta_Inmuebles,Pago_Servicios,Nomina,Gastos_Publicidad,Impuestos,Pago_Intereses_Creditos,Utilidad_Neta,Activos_Totales,IN_Gastos_Operativos,IN_ROA
22-01-2000,3.919,6.647,3.424,1.590,2.198,0.607,0.654,0.385,0.721,4.919,11.443,7.356,4.866,0.000,1.333,7.370,4.852,9.745,3.349,9.362,9.290,3.429,48.729,0.070,0.070
05-02-2000,3.145,8.129,2.471,0.965,3.654,1.596,0.371,0.264,1.546,7.604,7.094,10.623,2.319,0.000,5.521,11.626,1.563,8.054,2.968,8.465,8.759,2.825,49.780,0.057,0.057
02-03-2000,4.892,4.799,2.829,0.904,4.756,0.305,0.593,0.167,0.820,9.689,3.809,13.935,2.816,0.000,6.312,10.183,4.866,26.201,1.963,3.407,6.182,-8.799,50.315,-0.175,-0.175
25-04-2000,2.514,1.572,1.045,1.919,1.537,1.757,0.100,0.161,1.529,3.431,5.494,12.030,4.947,22.871,8.827,13.814,4.441,16.368,4.976,2.624,6.161,3.697,83.777,0.061,0.044
10-05-2000,3.208,4.435,1.511,1.991,1.462,1.731,0.358,0.337,1.681,8.274,6.095,9.751,3.459,0.000,8.868,14.584,3.897,21.569,2.888,7.324,7.385,-22.222,44.293,-0.502,-0.502
09-06-2000,4.318,9.965,2.021,1.156,1.428,0.523,0.487,0.395,0.579,5.844,5.230,10.257,2.942,0.000,4.963,11.365,4.920,21.043,2.542,3.781,4.759,-8.228,45.143,-0.182,-0.182
09-07-2000,3.474,5.762,3.147,1.465,3.213,1.652,0.622,0.285,0.256,5.351,2.255,14.071,2.360,0.000,5.734,8.751,4.869,19.929,3.224,4.058,2.037,-4.690,43.912,-0.107,-0.107
06-08-2000,4.447,9.740,1.536,0.394,2.089,0.975,0.689,0.332,0.137,4.920,11.614,6.952,1.344,17.546,5.112,17.680,4.218,5.534,0.946,1.055,1.188,26.982,80.261,0.430,0.336
25-09-2000,3.309,8.747,1.491,0.664,3.419,0.680,0.518,0.174,1.125,7.579,6.938,8.624,2.128,0.000,7.502,7.988,2.463,24.670,3.658,8.829,3.923,-13.637,45.396,-0.300,-0.300
05-10-2000,3.818,1.103,0.819,1.941,3.870,1.611,0.498,0.085,2.000,3.416,19.537,10.067,3.904,0.000,4.690,10.770,4.163,11.089,4.338,6.097,8.212,3.311,52.670,0.063,0.063
