Cliente,Año,Activos_Iniciales_millones,Ingresos_Netos_millones,Gastos_Operativos_millones,Margen_Financiero_Neto_millones,Fondos_Disponibles_millones,Depositos_Corto_Plazo_millones,Prestamos_Totales_millones,Prestamos_Morosos_millones,Activos_Finales_millones,Patrimonio_millones,Captaciones_Iniciales_millones,Captaciones_Finales_millones,Cartera_Inicial_millones,Cartera_Final_millones,Provisiones_Iniciales_millones,Provisiones_Finales_millones,Activos_Finales_millones_promedio,Eficiencia_Gasto_Operativo,Gasto_personal,ROA,Liquidez_de_Corto_Plazo,Tasa_de_Morosidad,Grado_Absorción,Solvencia_Patrimonial,Porcentaje_Crecimiento_Captaciones,Porcentaje_Crecimiento_Cartera,Porcentaje_Crecimiento_Provisiones
Cliente_1,2020,6767.318,7.725,10.761,8.505,30.951,6.482,41.040,3.495,2247.749,220.101,38.780,64.455,870.648,324.832,5.374,2.906,4893.708,-0.393,139.309,0.002,4.775,8.517,1.265,0.098,66.206,-62.691,-45.921
Cliente_1,2003,8921.903,6.102,3.690,12.526,19.090,2.540,19.162,3.521,3381.518,997.540,99.616,12.044,299.146,20.457,1.623,5.854,4970.480,0.395,60.464,0.001,7.515,18.376,0.295,0.295,-87.910,-93.161,260.689
Cliente_1,2000,870.301,7.946,3.805,9.469,35.018,7.562,11.284,1.097,5883.499,510.017,53.382,44.042,639.311,929.170,7.845,7.569,4620.370,0.521,47.881,0.002,4.631,9.718,0.402,0.087,-17.497,45.339,-3.518
Cliente_1,2023,4219.796,9.047,25.577,12.995,67.212,2.471,22.618,1.364,2301.917,91.819,97.137,45.919,609.361,878.843,7.893,2.810,5423.356,-1.827,282.711,0.002,27.204,6.033,1.968,0.040,-52.728,44.224,-64.392
Cliente_1,2008,298.942,5.032,18.508,8.872,42.835,4.415,20.710,1.178,2202.954,48.069,86.217,95.428,153.686,831.834,2.156,3.805,5765.334,-2.678,367.771,0.001,9.702,5.686,2.086,0.022,10.683,441.254,76.544
Cliente_1,2007,2187.161,9.029,24.407,10.716,43.316,9.906,18.439,2.151,710.860,110.539,2.137,87.709,762.748,308.207,5.278,9.956,5175.817,-1.703,270.312,0.002,4.373,11.666,2.278,0.156,4005.053,-59.593,88.655
Cliente_1,2007,5054.048,8.491,22.162,1.164,28.856,6.760,47.716,2.859,6311.398,627.819,72.351,27.076,539.840,58.867,5.948,6.849,5175.817,-1.610,261.018,0.002,4.269,5.992,19.032,0.099,-62.578,-89.095,15.142
Cliente_1,2004,266.333,6.701,16.551,3.805,34.028,6.013,45.055,5.455,2290.189,792.287,68.489,50.558,778.848,878.132,3.386,4.943,4929.029,-1.470,246.978,0.001,5.659,12.107,4.350,0.346,-26.181,12.748,46.002
Cliente_1,2023,1989.178,5.777,29.220,4.696,94.299,7.162,22.587,4.079,9054.295,422.738,54.160,18.687,530.823,947.002,8.852,5.658,5423.356,-4.058,505.770,0.001,13.167,18.059,6.222,0.047,-65.498,78.403,-36.079
Cliente_1,2003,6499.194,9.786,11.977,1.657,68.323,8.586,36.218,3.111,8596.494,64.464,27.416,91.350,1.571,86.568,4.808,2.089,4970.480,-0.224,122.393,0.002,7.958,8.589,7.228,0.007,233.204,5409.226,-56.553
