Cliente,Activos_Iniciales_millones,Ingresos_Netos_millones,Gastos_Operativos_millones,Margen_Financiero_Neto_millones,Fondos_Disponibles_millones,Depositos_Corto_Plazo_millones,Prestamos_Totales_millones,Prestamos_Morosos_millones,Activos_Finales_millones,Patrimonio_millones,Captaciones_Iniciales_millones,Captaciones_Finales_millones,Cartera_Inicial_millones,Cartera_Final_millones,Provisiones_Iniciales_millones,Provisiones_Finales_millones,Año,Liquidez_de_Corto_Plazo,Tasa_de_Morosidad,Grado_Absorción,Solvencia_Patrimonial,Porcentaje_Crecimiento_Captaciones,Porcentaje_Crecimiento_Cartera,Porcentaje_Crecimiento_Provisiones
Cliente_1,6394.629,6.093,24.369,12.203,73.411,4.332,26.047,0.951,5884.813,756.026,55.769,1.321,199.712,985.336,2.132,7.417,2020,16.948,3.653,1.997,0.128,-97.631,393.378,247.893
Cliente_1,251.083,7.527,21.246,11.081,14.124,2.886,12.648,1.917,72.901,861.242,94.301,72.487,374.540,806.968,6.938,4.591,2022,4.895,15.155,1.917,11.814,-23.132,115.456,-33.827
Cliente_1,2751.018,5.133,10.867,8.275,30.511,3.403,46.525,5.230,7078.702,153.688,68.348,72.248,162.387,240.213,9.522,7.045,2017,8.966,11.241,1.313,0.022,5.707,47.926,-26.009
Cliente_1,2232.884,5.994,5.509,14.610,36.045,9.430,32.687,4.966,589.679,160.822,12.341,97.217,953.546,241.631,2.486,4.361,2007,3.822,15.193,0.377,0.273,687.780,-74.660,75.404
Cliente_1,7364.976,8.249,28.759,5.989,17.181,6.832,38.717,3.539,674.936,680.801,88.594,76.434,922.512,567.790,5.749,9.097,2021,2.515,9.140,4.802,1.009,-13.725,-38.452,58.226
Cliente_1,6767.318,7.725,10.761,8.505,30.951,6.482,18.505,2.237,315.098,596.813,75.337,51.260,918.575,79.678,6.459,5.063,2010,4.775,12.087,1.265,1.894,-31.958,-91.326,-21.612
Cliente_1,8921.903,6.102,3.690,12.526,19.090,2.540,29.969,2.361,3304.954,385.383,77.091,11.535,599.346,732.176,9.679,3.231,2001,7.515,7.878,0.295,0.117,-85.038,22.163,-66.618
Cliente_1,870.301,7.946,3.805,9.469,35.018,7.562,45.387,9.054,5142.047,596.293,34.677,62.905,489.117,816.207,9.360,1.576,2007,4.631,19.949,0.402,0.116,81.400,66.874,-83.160
Cliente_1,4219.796,9.047,25.577,12.995,67.212,2.471,35.714,1.296,2785.494,468.582,30.057,84.325,112.756,978.007,7.797,1.189,2001,27.204,3.628,1.968,0.168,180.556,767.366,-84.747
Cliente_1,298.942,5.032,18.508,8.872,42.835,4.415,15.715,1.631,4854.660,252.163,16.658,51.259,363.618,533.173,7.209,5.985,2010,9.702,10.377,2.086,0.052,207.719,46.630,-16.972
